Elementos Crescente Decrescente Aleatório
0 0 0 0
100 0 4950 2360
200 0 19900 10244
300 0 44850 22241
400 0 79800 40808
500 0 124750 64120
600 0 179700 90248
700 0 244650 120318
800 0 319600 155738
900 0 404550 204519
1000 0 499500 254999
1100 0 604450 298611
1200 0 719400 367953
1300 0 844350 419006
1400 0 979300 482168
1500 0 1124250 542384
1600 0 1279200 649265
1700 0 1444150 722962
1800 0 1619100 823787
1900 0 1804050 904890
2000 0 1999000 1005033
2100 0 2203950 1111101
2200 0 2418900 1202539
2300 0 2643850 1351927
2400 0 2878800 1428647
2500 0 3123750 1533810
2600 0 3378700 1696244
2700 0 3643650 1867796
2800 0 3918600 1953681
2900 0 4203550 2114562
3000 0 4498500 2280247
3100 0 4803450 2364384
3200 0 5118400 2539903
3300 0 5443350 2756620
3400 0 5778300 2804038
3500 0 6123250 3006605
3600 0 6478200 3213705
3700 0 6843150 3440945
3800 0 7218100 3643326
3900 0 7603050 3844389
4000 0 7998000 3973595
4100 0 8402950 4282408
4200 0 8817900 4410833
4300 0 9242850 4579330
4400 0 9677800 4779583
4500 0 10122750 5059818
4600 0 10577700 5295223
4700 0 11042650 5500931
4800 0 11517600 5784588
4900 0 12002550 6018749
5000 0 12497500 6270840
5100 0 13002450 6491045
5200 0 13517400 6762335
5300 0 14042350 7046946
5400 0 14577300 7240208
5500 0 15122250 7470792
5600 0 15677200 7707541
5700 0 16242150 8137559
5800 0 16817100 8446727
5900 0 17402050 8534850
6000 0 17997000 9095127
6100 0 18601950 9312359
6200 0 19216900 9754191
6300 0 19841850 9908525
6400 0 20476800 10326389
6500 0 21121750 10483982
6600 0 21776700 10919016
6700 0 22441650 11245934
6800 0 23116600 11480943
6900 0 23801550 11873861
7000 0 24496500 12117282
7100 0 25201450 12365142
7200 0 25916400 12842089
7300 0 26641350 13224455
7400 0 27376300 13775991
7500 0 28121250 14176463
7600 0 28876200 14488372
7700 0 29641150 14686463
7800 0 30416100 15066382
7900 0 31201050 15520089
8000 0 31996000 16146341
8100 0 32800950 16602651
8200 0 33615900 16720090
8300 0 34440850 17305103
8400 0 35275800 17478952
8500 0 36120750 18022587
8600 0 36975700 18562094
8700 0 37840650 18904338
8800 0 38715600 19304304
8900 0 39600550 19707292
9000 0 40495500 20172768
9100 0 41400450 20455268
9200 0 42315400 21306694
9300 0 43240350 21551279
9400 0 44175300 22094481
9500 0 45120250 22324023
9600 0 46075200 22849812
9700 0 47040150 23374276
9800 0 48015100 24086671
9900 0 49000050 24387491
10000 0 49995000 24379518
