Elementos Crescente Decrescente Aleatório
0 0 0 0
100 640 516 578
200 1488 1206 1365
300 2410 1994 2211
400 3372 2822 3116
500 4354 3676 4058
600 5404 4572 4996
700 6488 5498 6032
800 7554 6442 7031
900 8626 7414 8040
1000 9708 8316 9070
1100 10848 9362 10181
1200 12004 10340 11250
1300 13206 11412 12293
1400 14364 12404 13423
1500 15548 13522 14595
1600 16662 14472 15714
1700 17900 15586 16784
1800 19068 16608 17901
1900 20260 17778 19032
2000 21300 18708 20143
2100 22662 19846 21343
2200 23944 20888 22452
2300 25230 22114 23702
2400 26518 23100 24878
2500 27814 24230 26057
2600 29104 25284 27243
2700 30380 26514 28456
2800 31672 27530 29622
2900 32952 28658 30916
3000 34252 29750 32053
3100 35542 30990 33379
3200 36828 32116 34503
3300 38102 33208 35665
3400 39410 34390 36974
3500 40698 35650 38261
3600 41988 36746 39429
3700 43272 37848 40544
3800 44558 39078 41828
3900 45838 40290 43144
4000 47142 41436 44340
4100 48426 42522 45560
4200 49814 43752 46833
4300 51208 45052 48093
4400 52594 46198 49310
4500 53982 47308 50724
4600 55372 48652 51971
4700 56748 49854 53240
4800 58146 51018 54512
4900 59540 52174 55784
5000 60932 53436 57180
5100 62322 54658 58423
5200 63710 55866 59771
5300 65104 57018 60992
5400 66504 58320 62285
5500 67884 59540 63551
5600 69264 60750 64854
5700 70672 61848 66219
5800 72052 63136 67567
5900 73438 64408 68905
6000 74828 65598 70194
6100 76228 66754 71450
6200 77616 68048 72661
6300 78998 69358 74135
6400 80404 70758 75425
6500 81802 71702 76739
6600 83174 73130 77954
6700 84558 74400 79427
6800 85948 75664 80732
6900 87356 76868 82086
7000 88764 78170 83310
7100 90126 79460 84674
7200 91510 80774 85985
7300 92906 81898 87284
7400 94296 83200 88688
7500 95690 84404 89841
7600 97070 85712 91223
7700 98462 86906 92686
7800 99854 88216 93884
7900 101244 89566 95304
8000 102638 90776 96636
8100 104028 91912 97857
8200 105420 93256 99249
8300 106892 94478 100712
8400 108362 95780 102049
8500 109838 97052 103395
8600 111312 98518 104846
8700 112790 99760 106158
8800 114250 101078 107606
8900 115744 102226 108869
9000 117222 103686 110380
9100 118692 104874 111649
9200 120168 106298 113179
9300 121626 107524 114524
9400 123102 108970 115738
9500 124580 110202 117136
9600 126050 111546 118566
9700 127524 112676 120100
9800 128990 114194 121345
9900 130488 115368 122884
10000 131956 116696 124111
